,title,url,press,date,keyword,content
0,1626가구 대단지 ‘탕정 푸르지오 리버파크’ 주거비 절감효과에 랜드마크화로 가격 상승까지,https://www.sedaily.com/NewsView/29XBL0O9T4,서울경제,4시간 전,마크비전,"대단지는 다양한 커뮤니티 시설과 특화 서비스, 쾌적한 단지 환경 등이 있어 지역 랜드마크로 각인되는 경우가 많다. 이렇게 랜드마크로 각인된... 단지는 탕정지구와 천안불당의 생활 인프라와 함께 아산시의 미래비전을 공유하는 더블 생활권 입지다. ‘아산디스플레이시티2’가 증설 예정이라..."
1,"""Mark Your Heart"" 마크헬츠 '심·뇌혈관 특화 AAV' 최초 유전자신약 개발 본격화",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=287651,약업신문,1일 전,마크비전,"마크헬츠 이승민 대표가 경기도 성남시 판교 메타버스 허브에서 지난 17일 열린 ‘제1회 융복합미래비전 포럼’에서 마크헬츠의 사업 계획을 발표하고 있다.©약업신문AAV(Adeno-associated virus, 아데노부속바이러스) 벡터(Viral vector) 기반 유전자치료제 ‘졸겐스마’, ‘럭스터나’가 블록버스터에..."
2,송도 11공구에 131층 랜드마크 우뚝 설까?,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1058912,기호일보,1일 전,마크비전,"지역 부동산업계 관계자는 ""민선8기 시정부 출범 후 1년 반이 흘렀으나 초기 내세운 '글로벌 초일류도시' 비전에 걸맞은 가시적인 성과가 없는 상황""이라며 ""송도 11공구 안에 131층 랜드마크 건축물을 포함한 주변 복합개발사업이 추진된다면 IFEZ의 이미지 개선은 물론 최근 김포시 서울 편입 문제로..."
3,"애플 비전 프로, 내년 3월 출시 전망",https://zdnet.co.kr/view/?no=20231120090747,지디넷코리아,1일 전,마크비전,"블룸버그통신 마크 거먼 기자는 파워온 뉴스레터를 통해 애플이 한 때 비전 프로를 2024년 1월에 내놓을 계획이었으나, 현재는 3월 출시가 유력하다고 전망했다. 애플 MR헤드셋 '비전 프로' (사진=씨넷) 그는 현재 애플은 프로의 최종 기기 테스트를 수행하고 있으며, 유통 계획도 준비 중이라고 덧붙였다...."
4,"[데일리픽] 오픈AI-샘 알트먼, 결별로 막 내리나..애플 비전 프로, 내년 3월 출시?",http://www.digitaltoday.co.kr/news/articleView.html?idxno=495029,디지털투데이,22시간 전,마크비전,"애플은 공식적으로 비전 프로가 내년 초부터 미국에서 먼저 판매될 것이라 밝힌 바 있는데, 최근 마크 거먼은 해당 시기를 3월쯤으로 예상했다. 비전 프로는 미국에서 먼저 출시된 뒤 2024년 하반기에 해외 국가에서도 출시될 예정이다. ■ 애플, 아이폰 부품 '자체 개발' 집중한다 애플이 더 많은 아이폰..."
5,"""비전·개최 의지 강조""… 현대차그룹, APEC 정상회의서 '부산엑스포' 홍보",https://www.getnews.co.kr/news/articleView.html?idxno=648882,글로벌경제,7일 전,마크비전,오는 28일 2030 세계박람회 개최지 선정 투표를 앞둔 가운데 현대차그룹은 전 세계의 이목이 집중되는 이번 APEC 정상회의에서 부산의 비전과 경쟁력을... 이외에도 샌프란시스코의 주요 랜드마크인 대형 쇼핑몰 '피어 39'(Pier 39) 메인 광장에 아트카를 전시해 방문객들의 눈길을 사로잡으며 부산의 매력과...
6,"한·미 공동 종양학 컨퍼런스, 아시아 랜드마크 학술대회 자리매김",http://www.bosa.co.kr/news/articleView.html?idxno=2210194,의학신문,4일 전,마크비전,"우리나라와 미국 암 연구 학술단체가 공동으로 개최하는 조인트 컨퍼런스가 국내를 넘어 아시아권 종양학의 랜드마크 학술대회로 자리매김하고 있다.... 대한 비전을 제시하는 길잡이가 될 것으로 기대된다""고 말했다. 이어 그는 ""우리나라는 세계 최고의 의료수준과 체계적 국가 암예방 사업 등에 따라..."
7,"[2023 K-스포노믹스 특집] 스포츠산업, 대한민국 꿈과 희망의 산실 ⑬ 현대차그룹, 계열사별 특성 맞춤스포츠 '전담 마크'...우승까지 함께 달려",http://www.hansbiz.co.kr/news/articleView.html?idxno=670183,한스경제,4일 전,마크비전,장치 △비전 기반 심박수 측정 장치 △딥러닝 인공지능 비전 기술 △활 비파괴 검사 기술 등이 있다. 특히 선수들의 컨디션 관리를 위해 한국스포츠정책과학원 소속 선수 심리 담당 전문가의 의견과 대표팀 감독 및 코치진의 의견을 반영한 선수별 맞춤형 명상 솔루션도 제공하고 있다. 또한 국내 양궁...
8,[단독]시흥유통상가 재개발 급물살…첨단물류단지 변신,http://www.edaily.co.kr/news/newspath.asp?newsid=01289046635808016,이데일리언론사 선정,7시간 전,마크비전,"낙후한 상가가 탈바꿈하면 상대적으로 소외당하던 서울 서남부 지역에도 물류·유통·상업 기능을 동시에 제공하는 새로운 랜드마크가 들어설 전망이다.... 자본금 5억 5000만원으로 출발한 금천스마트허브는 금천구 비전위원회 경제일자리위원장을 역임한 송형준 대표를 중심으로 감사와 임원, 경영·법률·재무..."
9,잡스도 알트먼도 '독선'이 퇴출 불렀다…차이점은 'AI리스크',http://news.mt.co.kr/mtview.php?no=2023112023523335486,머니투데이언론사 선정,13시간 전,마크비전,"하지만 기술 창업자로서는 비정상적으로 알트먼은 오픈AI에 대한 지분이 없었기 때문에 마크 저커버그와 같은 페이스북(메타) 창업자들처럼 강력한... 스컬리도 이후 회고록에서 잡스를 '광신자'라고 말하며 ""그의 비전이 너무 순수해서 그 을 세상의 불완전함에 수용할 수 없었다""고 비판했다. 잡스의..."
10,1626가구 대단지 ‘탕정 푸르지오 리버파크’ 주거비 절감효과에 랜드마크화로 가격 상승까지,https://www.sedaily.com/NewsView/29XBL0O9T4,서울경제,4시간 전,마크비전,"대단지는 다양한 커뮤니티 시설과 특화 서비스, 쾌적한 단지 환경 등이 있어 지역 랜드마크로 각인되는 경우가 많다. 이렇게 랜드마크로 각인된... 단지는 탕정지구와 천안불당의 생활 인프라와 함께 아산시의 미래비전을 공유하는 더블 생활권 입지다. ‘아산디스플레이시티2’가 증설 예정이라..."
11,"""Mark Your Heart"" 마크헬츠 '심·뇌혈관 특화 AAV' 최초 유전자신약 개발 본격화",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=287651,약업신문,1일 전,마크비전,"마크헬츠 이승민 대표가 경기도 성남시 판교 메타버스 허브에서 지난 17일 열린 ‘제1회 융복합미래비전 포럼’에서 마크헬츠의 사업 계획을 발표하고 있다.©약업신문AAV(Adeno-associated virus, 아데노부속바이러스) 벡터(Viral vector) 기반 유전자치료제 ‘졸겐스마’, ‘럭스터나’가 블록버스터에..."
12,송도 11공구에 131층 랜드마크 우뚝 설까?,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1058912,기호일보,1일 전,마크비전,"지역 부동산업계 관계자는 ""민선8기 시정부 출범 후 1년 반이 흘렀으나 초기 내세운 '글로벌 초일류도시' 비전에 걸맞은 가시적인 성과가 없는 상황""이라며 ""송도 11공구 안에 131층 랜드마크 건축물을 포함한 주변 복합개발사업이 추진된다면 IFEZ의 이미지 개선은 물론 최근 김포시 서울 편입 문제로..."
13,"애플 비전 프로, 내년 3월 출시 전망",https://zdnet.co.kr/view/?no=20231120090747,지디넷코리아,1일 전,마크비전,"블룸버그통신 마크 거먼 기자는 파워온 뉴스레터를 통해 애플이 한 때 비전 프로를 2024년 1월에 내놓을 계획이었으나, 현재는 3월 출시가 유력하다고 전망했다. 애플 MR헤드셋 '비전 프로' (사진=씨넷) 그는 현재 애플은 프로의 최종 기기 테스트를 수행하고 있으며, 유통 계획도 준비 중이라고 덧붙였다...."
14,"[데일리픽] 오픈AI-샘 알트먼, 결별로 막 내리나..애플 비전 프로, 내년 3월 출시?",http://www.digitaltoday.co.kr/news/articleView.html?idxno=495029,디지털투데이,22시간 전,마크비전,"애플은 공식적으로 비전 프로가 내년 초부터 미국에서 먼저 판매될 것이라 밝힌 바 있는데, 최근 마크 거먼은 해당 시기를 3월쯤으로 예상했다. 비전 프로는 미국에서 먼저 출시된 뒤 2024년 하반기에 해외 국가에서도 출시될 예정이다. ■ 애플, 아이폰 부품 '자체 개발' 집중한다 애플이 더 많은 아이폰..."
15,"""비전·개최 의지 강조""… 현대차그룹, APEC 정상회의서 '부산엑스포' 홍보",https://www.getnews.co.kr/news/articleView.html?idxno=648882,글로벌경제,7일 전,마크비전,오는 28일 2030 세계박람회 개최지 선정 투표를 앞둔 가운데 현대차그룹은 전 세계의 이목이 집중되는 이번 APEC 정상회의에서 부산의 비전과 경쟁력을... 이외에도 샌프란시스코의 주요 랜드마크인 대형 쇼핑몰 '피어 39'(Pier 39) 메인 광장에 아트카를 전시해 방문객들의 눈길을 사로잡으며 부산의 매력과...
16,"한·미 공동 종양학 컨퍼런스, 아시아 랜드마크 학술대회 자리매김",http://www.bosa.co.kr/news/articleView.html?idxno=2210194,의학신문,4일 전,마크비전,"우리나라와 미국 암 연구 학술단체가 공동으로 개최하는 조인트 컨퍼런스가 국내를 넘어 아시아권 종양학의 랜드마크 학술대회로 자리매김하고 있다.... 대한 비전을 제시하는 길잡이가 될 것으로 기대된다""고 말했다. 이어 그는 ""우리나라는 세계 최고의 의료수준과 체계적 국가 암예방 사업 등에 따라..."
17,"[2023 K-스포노믹스 특집] 스포츠산업, 대한민국 꿈과 희망의 산실 ⑬ 현대차그룹, 계열사별 특성 맞춤스포츠 '전담 마크'...우승까지 함께 달려",http://www.hansbiz.co.kr/news/articleView.html?idxno=670183,한스경제,4일 전,마크비전,장치 △비전 기반 심박수 측정 장치 △딥러닝 인공지능 비전 기술 △활 비파괴 검사 기술 등이 있다. 특히 선수들의 컨디션 관리를 위해 한국스포츠정책과학원 소속 선수 심리 담당 전문가의 의견과 대표팀 감독 및 코치진의 의견을 반영한 선수별 맞춤형 명상 솔루션도 제공하고 있다. 또한 국내 양궁...
18,[단독]시흥유통상가 재개발 급물살…첨단물류단지 변신,http://www.edaily.co.kr/news/newspath.asp?newsid=01289046635808016,이데일리언론사 선정,7시간 전,마크비전,"낙후한 상가가 탈바꿈하면 상대적으로 소외당하던 서울 서남부 지역에도 물류·유통·상업 기능을 동시에 제공하는 새로운 랜드마크가 들어설 전망이다.... 자본금 5억 5000만원으로 출발한 금천스마트허브는 금천구 비전위원회 경제일자리위원장을 역임한 송형준 대표를 중심으로 감사와 임원, 경영·법률·재무..."
19,잡스도 알트먼도 '독선'이 퇴출 불렀다…차이점은 'AI리스크',http://news.mt.co.kr/mtview.php?no=2023112023523335486,머니투데이언론사 선정,13시간 전,마크비전,"하지만 기술 창업자로서는 비정상적으로 알트먼은 오픈AI에 대한 지분이 없었기 때문에 마크 저커버그와 같은 페이스북(메타) 창업자들처럼 강력한... 스컬리도 이후 회고록에서 잡스를 '광신자'라고 말하며 ""그의 비전이 너무 순수해서 그 을 세상의 불완전함에 수용할 수 없었다""고 비판했다. 잡스의..."
20,1626가구 대단지 ‘탕정 푸르지오 리버파크’ 주거비 절감효과에 랜드마크화로 가격 상승까지,https://www.sedaily.com/NewsView/29XBL0O9T4,서울경제,4시간 전,마크비전,"대단지는 다양한 커뮤니티 시설과 특화 서비스, 쾌적한 단지 환경 등이 있어 지역 랜드마크로 각인되는 경우가 많다. 이렇게 랜드마크로 각인된... 단지는 탕정지구와 천안불당의 생활 인프라와 함께 아산시의 미래비전을 공유하는 더블 생활권 입지다. ‘아산디스플레이시티2’가 증설 예정이라..."
21,"""Mark Your Heart"" 마크헬츠 '심·뇌혈관 특화 AAV' 최초 유전자신약 개발 본격화",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=287651,약업신문,1일 전,마크비전,"마크헬츠 이승민 대표가 경기도 성남시 판교 메타버스 허브에서 지난 17일 열린 ‘제1회 융복합미래비전 포럼’에서 마크헬츠의 사업 계획을 발표하고 있다.©약업신문AAV(Adeno-associated virus, 아데노부속바이러스) 벡터(Viral vector) 기반 유전자치료제 ‘졸겐스마’, ‘럭스터나’가 블록버스터에..."
22,송도 11공구에 131층 랜드마크 우뚝 설까?,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1058912,기호일보,1일 전,마크비전,"지역 부동산업계 관계자는 ""민선8기 시정부 출범 후 1년 반이 흘렀으나 초기 내세운 '글로벌 초일류도시' 비전에 걸맞은 가시적인 성과가 없는 상황""이라며 ""송도 11공구 안에 131층 랜드마크 건축물을 포함한 주변 복합개발사업이 추진된다면 IFEZ의 이미지 개선은 물론 최근 김포시 서울 편입 문제로..."
23,"애플 비전 프로, 내년 3월 출시 전망",https://zdnet.co.kr/view/?no=20231120090747,지디넷코리아,1일 전,마크비전,"블룸버그통신 마크 거먼 기자는 파워온 뉴스레터를 통해 애플이 한 때 비전 프로를 2024년 1월에 내놓을 계획이었으나, 현재는 3월 출시가 유력하다고 전망했다. 애플 MR헤드셋 '비전 프로' (사진=씨넷) 그는 현재 애플은 프로의 최종 기기 테스트를 수행하고 있으며, 유통 계획도 준비 중이라고 덧붙였다...."
24,"[데일리픽] 오픈AI-샘 알트먼, 결별로 막 내리나..애플 비전 프로, 내년 3월 출시?",http://www.digitaltoday.co.kr/news/articleView.html?idxno=495029,디지털투데이,22시간 전,마크비전,"애플은 공식적으로 비전 프로가 내년 초부터 미국에서 먼저 판매될 것이라 밝힌 바 있는데, 최근 마크 거먼은 해당 시기를 3월쯤으로 예상했다. 비전 프로는 미국에서 먼저 출시된 뒤 2024년 하반기에 해외 국가에서도 출시될 예정이다. ■ 애플, 아이폰 부품 '자체 개발' 집중한다 애플이 더 많은 아이폰..."
25,"""비전·개최 의지 강조""… 현대차그룹, APEC 정상회의서 '부산엑스포' 홍보",https://www.getnews.co.kr/news/articleView.html?idxno=648882,글로벌경제,7일 전,마크비전,오는 28일 2030 세계박람회 개최지 선정 투표를 앞둔 가운데 현대차그룹은 전 세계의 이목이 집중되는 이번 APEC 정상회의에서 부산의 비전과 경쟁력을... 이외에도 샌프란시스코의 주요 랜드마크인 대형 쇼핑몰 '피어 39'(Pier 39) 메인 광장에 아트카를 전시해 방문객들의 눈길을 사로잡으며 부산의 매력과...
26,"한·미 공동 종양학 컨퍼런스, 아시아 랜드마크 학술대회 자리매김",http://www.bosa.co.kr/news/articleView.html?idxno=2210194,의학신문,4일 전,마크비전,"우리나라와 미국 암 연구 학술단체가 공동으로 개최하는 조인트 컨퍼런스가 국내를 넘어 아시아권 종양학의 랜드마크 학술대회로 자리매김하고 있다.... 대한 비전을 제시하는 길잡이가 될 것으로 기대된다""고 말했다. 이어 그는 ""우리나라는 세계 최고의 의료수준과 체계적 국가 암예방 사업 등에 따라..."
27,"[2023 K-스포노믹스 특집] 스포츠산업, 대한민국 꿈과 희망의 산실 ⑬ 현대차그룹, 계열사별 특성 맞춤스포츠 '전담 마크'...우승까지 함께 달려",http://www.hansbiz.co.kr/news/articleView.html?idxno=670183,한스경제,4일 전,마크비전,장치 △비전 기반 심박수 측정 장치 △딥러닝 인공지능 비전 기술 △활 비파괴 검사 기술 등이 있다. 특히 선수들의 컨디션 관리를 위해 한국스포츠정책과학원 소속 선수 심리 담당 전문가의 의견과 대표팀 감독 및 코치진의 의견을 반영한 선수별 맞춤형 명상 솔루션도 제공하고 있다. 또한 국내 양궁...
28,[단독]시흥유통상가 재개발 급물살…첨단물류단지 변신,http://www.edaily.co.kr/news/newspath.asp?newsid=01289046635808016,이데일리언론사 선정,7시간 전,마크비전,"낙후한 상가가 탈바꿈하면 상대적으로 소외당하던 서울 서남부 지역에도 물류·유통·상업 기능을 동시에 제공하는 새로운 랜드마크가 들어설 전망이다.... 자본금 5억 5000만원으로 출발한 금천스마트허브는 금천구 비전위원회 경제일자리위원장을 역임한 송형준 대표를 중심으로 감사와 임원, 경영·법률·재무..."
29,잡스도 알트먼도 '독선'이 퇴출 불렀다…차이점은 'AI리스크',http://news.mt.co.kr/mtview.php?no=2023112023523335486,머니투데이언론사 선정,13시간 전,마크비전,"하지만 기술 창업자로서는 비정상적으로 알트먼은 오픈AI에 대한 지분이 없었기 때문에 마크 저커버그와 같은 페이스북(메타) 창업자들처럼 강력한... 스컬리도 이후 회고록에서 잡스를 '광신자'라고 말하며 ""그의 비전이 너무 순수해서 그 을 세상의 불완전함에 수용할 수 없었다""고 비판했다. 잡스의..."
30,1626가구 대단지 ‘탕정 푸르지오 리버파크’ 주거비 절감효과에 랜드마크화로 가격 상승까지,https://www.sedaily.com/NewsView/29XBL0O9T4,서울경제,4시간 전,마크비전,"대단지는 다양한 커뮤니티 시설과 특화 서비스, 쾌적한 단지 환경 등이 있어 지역 랜드마크로 각인되는 경우가 많다. 이렇게 랜드마크로 각인된... 단지는 탕정지구와 천안불당의 생활 인프라와 함께 아산시의 미래비전을 공유하는 더블 생활권 입지다. ‘아산디스플레이시티2’가 증설 예정이라..."
31,"""Mark Your Heart"" 마크헬츠 '심·뇌혈관 특화 AAV' 최초 유전자신약 개발 본격화",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=287651,약업신문,1일 전,마크비전,"마크헬츠 이승민 대표가 경기도 성남시 판교 메타버스 허브에서 지난 17일 열린 ‘제1회 융복합미래비전 포럼’에서 마크헬츠의 사업 계획을 발표하고 있다.©약업신문AAV(Adeno-associated virus, 아데노부속바이러스) 벡터(Viral vector) 기반 유전자치료제 ‘졸겐스마’, ‘럭스터나’가 블록버스터에..."
32,송도 11공구에 131층 랜드마크 우뚝 설까?,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1058912,기호일보,1일 전,마크비전,"지역 부동산업계 관계자는 ""민선8기 시정부 출범 후 1년 반이 흘렀으나 초기 내세운 '글로벌 초일류도시' 비전에 걸맞은 가시적인 성과가 없는 상황""이라며 ""송도 11공구 안에 131층 랜드마크 건축물을 포함한 주변 복합개발사업이 추진된다면 IFEZ의 이미지 개선은 물론 최근 김포시 서울 편입 문제로..."
33,"애플 비전 프로, 내년 3월 출시 전망",https://zdnet.co.kr/view/?no=20231120090747,지디넷코리아,1일 전,마크비전,"블룸버그통신 마크 거먼 기자는 파워온 뉴스레터를 통해 애플이 한 때 비전 프로를 2024년 1월에 내놓을 계획이었으나, 현재는 3월 출시가 유력하다고 전망했다. 애플 MR헤드셋 '비전 프로' (사진=씨넷) 그는 현재 애플은 프로의 최종 기기 테스트를 수행하고 있으며, 유통 계획도 준비 중이라고 덧붙였다...."
34,"[데일리픽] 오픈AI-샘 알트먼, 결별로 막 내리나..애플 비전 프로, 내년 3월 출시?",http://www.digitaltoday.co.kr/news/articleView.html?idxno=495029,디지털투데이,22시간 전,마크비전,"애플은 공식적으로 비전 프로가 내년 초부터 미국에서 먼저 판매될 것이라 밝힌 바 있는데, 최근 마크 거먼은 해당 시기를 3월쯤으로 예상했다. 비전 프로는 미국에서 먼저 출시된 뒤 2024년 하반기에 해외 국가에서도 출시될 예정이다. ■ 애플, 아이폰 부품 '자체 개발' 집중한다 애플이 더 많은 아이폰..."
35,"""비전·개최 의지 강조""… 현대차그룹, APEC 정상회의서 '부산엑스포' 홍보",https://www.getnews.co.kr/news/articleView.html?idxno=648882,글로벌경제,7일 전,마크비전,오는 28일 2030 세계박람회 개최지 선정 투표를 앞둔 가운데 현대차그룹은 전 세계의 이목이 집중되는 이번 APEC 정상회의에서 부산의 비전과 경쟁력을... 이외에도 샌프란시스코의 주요 랜드마크인 대형 쇼핑몰 '피어 39'(Pier 39) 메인 광장에 아트카를 전시해 방문객들의 눈길을 사로잡으며 부산의 매력과...
36,"한·미 공동 종양학 컨퍼런스, 아시아 랜드마크 학술대회 자리매김",http://www.bosa.co.kr/news/articleView.html?idxno=2210194,의학신문,4일 전,마크비전,"우리나라와 미국 암 연구 학술단체가 공동으로 개최하는 조인트 컨퍼런스가 국내를 넘어 아시아권 종양학의 랜드마크 학술대회로 자리매김하고 있다.... 대한 비전을 제시하는 길잡이가 될 것으로 기대된다""고 말했다. 이어 그는 ""우리나라는 세계 최고의 의료수준과 체계적 국가 암예방 사업 등에 따라..."
37,"[2023 K-스포노믹스 특집] 스포츠산업, 대한민국 꿈과 희망의 산실 ⑬ 현대차그룹, 계열사별 특성 맞춤스포츠 '전담 마크'...우승까지 함께 달려",http://www.hansbiz.co.kr/news/articleView.html?idxno=670183,한스경제,4일 전,마크비전,장치 △비전 기반 심박수 측정 장치 △딥러닝 인공지능 비전 기술 △활 비파괴 검사 기술 등이 있다. 특히 선수들의 컨디션 관리를 위해 한국스포츠정책과학원 소속 선수 심리 담당 전문가의 의견과 대표팀 감독 및 코치진의 의견을 반영한 선수별 맞춤형 명상 솔루션도 제공하고 있다. 또한 국내 양궁...
38,[단독]시흥유통상가 재개발 급물살…첨단물류단지 변신,http://www.edaily.co.kr/news/newspath.asp?newsid=01289046635808016,이데일리언론사 선정,7시간 전,마크비전,"낙후한 상가가 탈바꿈하면 상대적으로 소외당하던 서울 서남부 지역에도 물류·유통·상업 기능을 동시에 제공하는 새로운 랜드마크가 들어설 전망이다.... 자본금 5억 5000만원으로 출발한 금천스마트허브는 금천구 비전위원회 경제일자리위원장을 역임한 송형준 대표를 중심으로 감사와 임원, 경영·법률·재무..."
39,잡스도 알트먼도 '독선'이 퇴출 불렀다…차이점은 'AI리스크',http://news.mt.co.kr/mtview.php?no=2023112023523335486,머니투데이언론사 선정,13시간 전,마크비전,"하지만 기술 창업자로서는 비정상적으로 알트먼은 오픈AI에 대한 지분이 없었기 때문에 마크 저커버그와 같은 페이스북(메타) 창업자들처럼 강력한... 스컬리도 이후 회고록에서 잡스를 '광신자'라고 말하며 ""그의 비전이 너무 순수해서 그 을 세상의 불완전함에 수용할 수 없었다""고 비판했다. 잡스의..."
40,1626가구 대단지 ‘탕정 푸르지오 리버파크’ 주거비 절감효과에 랜드마크화로 가격 상승까지,https://www.sedaily.com/NewsView/29XBL0O9T4,서울경제,4시간 전,마크비전,"대단지는 다양한 커뮤니티 시설과 특화 서비스, 쾌적한 단지 환경 등이 있어 지역 랜드마크로 각인되는 경우가 많다. 이렇게 랜드마크로 각인된... 단지는 탕정지구와 천안불당의 생활 인프라와 함께 아산시의 미래비전을 공유하는 더블 생활권 입지다. ‘아산디스플레이시티2’가 증설 예정이라..."
41,"""Mark Your Heart"" 마크헬츠 '심·뇌혈관 특화 AAV' 최초 유전자신약 개발 본격화",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=287651,약업신문,1일 전,마크비전,"마크헬츠 이승민 대표가 경기도 성남시 판교 메타버스 허브에서 지난 17일 열린 ‘제1회 융복합미래비전 포럼’에서 마크헬츠의 사업 계획을 발표하고 있다.©약업신문AAV(Adeno-associated virus, 아데노부속바이러스) 벡터(Viral vector) 기반 유전자치료제 ‘졸겐스마’, ‘럭스터나’가 블록버스터에..."
42,송도 11공구에 131층 랜드마크 우뚝 설까?,http://www.kihoilbo.co.kr/news/articleView.html?idxno=1058912,기호일보,1일 전,마크비전,"지역 부동산업계 관계자는 ""민선8기 시정부 출범 후 1년 반이 흘렀으나 초기 내세운 '글로벌 초일류도시' 비전에 걸맞은 가시적인 성과가 없는 상황""이라며 ""송도 11공구 안에 131층 랜드마크 건축물을 포함한 주변 복합개발사업이 추진된다면 IFEZ의 이미지 개선은 물론 최근 김포시 서울 편입 문제로..."
43,"애플 비전 프로, 내년 3월 출시 전망",https://zdnet.co.kr/view/?no=20231120090747,지디넷코리아,1일 전,마크비전,"블룸버그통신 마크 거먼 기자는 파워온 뉴스레터를 통해 애플이 한 때 비전 프로를 2024년 1월에 내놓을 계획이었으나, 현재는 3월 출시가 유력하다고 전망했다. 애플 MR헤드셋 '비전 프로' (사진=씨넷) 그는 현재 애플은 프로의 최종 기기 테스트를 수행하고 있으며, 유통 계획도 준비 중이라고 덧붙였다...."
44,"[데일리픽] 오픈AI-샘 알트먼, 결별로 막 내리나..애플 비전 프로, 내년 3월 출시?",http://www.digitaltoday.co.kr/news/articleView.html?idxno=495029,디지털투데이,22시간 전,마크비전,"애플은 공식적으로 비전 프로가 내년 초부터 미국에서 먼저 판매될 것이라 밝힌 바 있는데, 최근 마크 거먼은 해당 시기를 3월쯤으로 예상했다. 비전 프로는 미국에서 먼저 출시된 뒤 2024년 하반기에 해외 국가에서도 출시될 예정이다. ■ 애플, 아이폰 부품 '자체 개발' 집중한다 애플이 더 많은 아이폰..."
45,"""비전·개최 의지 강조""… 현대차그룹, APEC 정상회의서 '부산엑스포' 홍보",https://www.getnews.co.kr/news/articleView.html?idxno=648882,글로벌경제,7일 전,마크비전,오는 28일 2030 세계박람회 개최지 선정 투표를 앞둔 가운데 현대차그룹은 전 세계의 이목이 집중되는 이번 APEC 정상회의에서 부산의 비전과 경쟁력을... 이외에도 샌프란시스코의 주요 랜드마크인 대형 쇼핑몰 '피어 39'(Pier 39) 메인 광장에 아트카를 전시해 방문객들의 눈길을 사로잡으며 부산의 매력과...
46,"한·미 공동 종양학 컨퍼런스, 아시아 랜드마크 학술대회 자리매김",http://www.bosa.co.kr/news/articleView.html?idxno=2210194,의학신문,4일 전,마크비전,"우리나라와 미국 암 연구 학술단체가 공동으로 개최하는 조인트 컨퍼런스가 국내를 넘어 아시아권 종양학의 랜드마크 학술대회로 자리매김하고 있다.... 대한 비전을 제시하는 길잡이가 될 것으로 기대된다""고 말했다. 이어 그는 ""우리나라는 세계 최고의 의료수준과 체계적 국가 암예방 사업 등에 따라..."
47,"[2023 K-스포노믹스 특집] 스포츠산업, 대한민국 꿈과 희망의 산실 ⑬ 현대차그룹, 계열사별 특성 맞춤스포츠 '전담 마크'...우승까지 함께 달려",http://www.hansbiz.co.kr/news/articleView.html?idxno=670183,한스경제,4일 전,마크비전,장치 △비전 기반 심박수 측정 장치 △딥러닝 인공지능 비전 기술 △활 비파괴 검사 기술 등이 있다. 특히 선수들의 컨디션 관리를 위해 한국스포츠정책과학원 소속 선수 심리 담당 전문가의 의견과 대표팀 감독 및 코치진의 의견을 반영한 선수별 맞춤형 명상 솔루션도 제공하고 있다. 또한 국내 양궁...
48,[단독]시흥유통상가 재개발 급물살…첨단물류단지 변신,http://www.edaily.co.kr/news/newspath.asp?newsid=01289046635808016,이데일리언론사 선정,7시간 전,마크비전,"낙후한 상가가 탈바꿈하면 상대적으로 소외당하던 서울 서남부 지역에도 물류·유통·상업 기능을 동시에 제공하는 새로운 랜드마크가 들어설 전망이다.... 자본금 5억 5000만원으로 출발한 금천스마트허브는 금천구 비전위원회 경제일자리위원장을 역임한 송형준 대표를 중심으로 감사와 임원, 경영·법률·재무..."
49,잡스도 알트먼도 '독선'이 퇴출 불렀다…차이점은 'AI리스크',http://news.mt.co.kr/mtview.php?no=2023112023523335486,머니투데이언론사 선정,13시간 전,마크비전,"하지만 기술 창업자로서는 비정상적으로 알트먼은 오픈AI에 대한 지분이 없었기 때문에 마크 저커버그와 같은 페이스북(메타) 창업자들처럼 강력한... 스컬리도 이후 회고록에서 잡스를 '광신자'라고 말하며 ""그의 비전이 너무 순수해서 그 을 세상의 불완전함에 수용할 수 없었다""고 비판했다. 잡스의..."
