,title,url,press,date,keyword
0,"리튬에 발목잡힌 K-양극재 …""내년 상반기 고비""",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202311200099&t=NNv,한국경제TV언론사 선정,23시간 전,양극재
1,"SK온, BASF와 '맞손'…배터리 핵심 양극재 생산협력 모색한다",https://www.yna.co.kr/view/AKR20231115131600003?input=1195m,연합뉴스,5일 전,양극재
2,바스프와 양극재 동맹 맺은 SK온,http://www.fnnews.com/news/202311151628375858,파이낸셜뉴스언론사 선정,4일 전,양극재
3,"韓 배터리, 양극재 공급망 지도 더 넓힌다",http://www.g-enews.com/ko-kr/news/article/news_all/202311201340145937bdb7041ec_1/article.html,글로벌이코노믹,23시간 전,양극재
4,"한양대 연구팀, 하이니켈 양극재 탄소 캡슐화 기술 개발",http://www.m-i.kr/news/articleView.html?idxno=1067718,매일일보,1일 전,양극재
5,"SK온, BASF와 '맞손'…양극재 생산부터 공급망 강화 '박차'",http://news.tf.co.kr/read/economy/2055712.htm,더팩트,5일 전,양극재
6,"SK온, BASF와 양극재 생산 '맞손'",https://dealsite.co.kr/articles/113187,딜사이트,5일 전,양극재
7,"[더벨]포스코퓨처엠, 포항 '양극재 밸류체인' 구축 속도전",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311171040091440104481,더벨,1일 전,양극재
8,"SK온, 獨바스프와 '양극재 생산' 맞손…""배터리 밸류체인 확대""",https://www.hankyung.com/article/202311158830i,한국경제,5일 전,양극재
9,"'혁신 리더십' 신학철 LG화학 부회장, 신성장 동력 투자 이어간다 [CEO 오늘]",http://www.sisaon.co.kr/news/articleView.html?idxno=155710,시사오늘,1시간 전,양극재
10,"리튬에 발목잡힌 K-양극재 …""내년 상반기 고비""",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202311200099&t=NNv,한국경제TV언론사 선정,23시간 전,양극재
11,"SK온, BASF와 '맞손'…배터리 핵심 양극재 생산협력 모색한다",https://www.yna.co.kr/view/AKR20231115131600003?input=1195m,연합뉴스,5일 전,양극재
12,바스프와 양극재 동맹 맺은 SK온,http://www.fnnews.com/news/202311151628375858,파이낸셜뉴스언론사 선정,4일 전,양극재
13,"韓 배터리, 양극재 공급망 지도 더 넓힌다",http://www.g-enews.com/ko-kr/news/article/news_all/202311201340145937bdb7041ec_1/article.html,글로벌이코노믹,23시간 전,양극재
14,"한양대 연구팀, 하이니켈 양극재 탄소 캡슐화 기술 개발",http://www.m-i.kr/news/articleView.html?idxno=1067718,매일일보,1일 전,양극재
15,"SK온, BASF와 '맞손'…양극재 생산부터 공급망 강화 '박차'",http://news.tf.co.kr/read/economy/2055712.htm,더팩트,5일 전,양극재
16,"SK온, BASF와 양극재 생산 '맞손'",https://dealsite.co.kr/articles/113187,딜사이트,5일 전,양극재
17,"[더벨]포스코퓨처엠, 포항 '양극재 밸류체인' 구축 속도전",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311171040091440104481,더벨,1일 전,양극재
18,"SK온, 獨바스프와 '양극재 생산' 맞손…""배터리 밸류체인 확대""",https://www.hankyung.com/article/202311158830i,한국경제,5일 전,양극재
19,"'혁신 리더십' 신학철 LG화학 부회장, 신성장 동력 투자 이어간다 [CEO 오늘]",http://www.sisaon.co.kr/news/articleView.html?idxno=155710,시사오늘,1시간 전,양극재
20,"리튬에 발목잡힌 K-양극재 …""내년 상반기 고비""",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202311200099&t=NNv,한국경제TV언론사 선정,23시간 전,양극재
21,"SK온, BASF와 '맞손'…배터리 핵심 양극재 생산협력 모색한다",https://www.yna.co.kr/view/AKR20231115131600003?input=1195m,연합뉴스,5일 전,양극재
22,바스프와 양극재 동맹 맺은 SK온,http://www.fnnews.com/news/202311151628375858,파이낸셜뉴스언론사 선정,4일 전,양극재
23,"韓 배터리, 양극재 공급망 지도 더 넓힌다",http://www.g-enews.com/ko-kr/news/article/news_all/202311201340145937bdb7041ec_1/article.html,글로벌이코노믹,23시간 전,양극재
24,"한양대 연구팀, 하이니켈 양극재 탄소 캡슐화 기술 개발",http://www.m-i.kr/news/articleView.html?idxno=1067718,매일일보,1일 전,양극재
25,"SK온, BASF와 '맞손'…양극재 생산부터 공급망 강화 '박차'",http://news.tf.co.kr/read/economy/2055712.htm,더팩트,5일 전,양극재
26,"SK온, BASF와 양극재 생산 '맞손'",https://dealsite.co.kr/articles/113187,딜사이트,5일 전,양극재
27,"[더벨]포스코퓨처엠, 포항 '양극재 밸류체인' 구축 속도전",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311171040091440104481,더벨,1일 전,양극재
28,"SK온, 獨바스프와 '양극재 생산' 맞손…""배터리 밸류체인 확대""",https://www.hankyung.com/article/202311158830i,한국경제,5일 전,양극재
29,"'혁신 리더십' 신학철 LG화학 부회장, 신성장 동력 투자 이어간다 [CEO 오늘]",http://www.sisaon.co.kr/news/articleView.html?idxno=155710,시사오늘,1시간 전,양극재
30,"리튬에 발목잡힌 K-양극재 …""내년 상반기 고비""",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202311200099&t=NNv,한국경제TV언론사 선정,23시간 전,양극재
31,"SK온, BASF와 '맞손'…배터리 핵심 양극재 생산협력 모색한다",https://www.yna.co.kr/view/AKR20231115131600003?input=1195m,연합뉴스,5일 전,양극재
32,바스프와 양극재 동맹 맺은 SK온,http://www.fnnews.com/news/202311151628375858,파이낸셜뉴스언론사 선정,4일 전,양극재
33,"韓 배터리, 양극재 공급망 지도 더 넓힌다",http://www.g-enews.com/ko-kr/news/article/news_all/202311201340145937bdb7041ec_1/article.html,글로벌이코노믹,23시간 전,양극재
34,"한양대 연구팀, 하이니켈 양극재 탄소 캡슐화 기술 개발",http://www.m-i.kr/news/articleView.html?idxno=1067718,매일일보,1일 전,양극재
35,"SK온, BASF와 '맞손'…양극재 생산부터 공급망 강화 '박차'",http://news.tf.co.kr/read/economy/2055712.htm,더팩트,5일 전,양극재
36,"SK온, BASF와 양극재 생산 '맞손'",https://dealsite.co.kr/articles/113187,딜사이트,5일 전,양극재
37,"[더벨]포스코퓨처엠, 포항 '양극재 밸류체인' 구축 속도전",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311171040091440104481,더벨,1일 전,양극재
38,"SK온, 獨바스프와 '양극재 생산' 맞손…""배터리 밸류체인 확대""",https://www.hankyung.com/article/202311158830i,한국경제,5일 전,양극재
39,"'혁신 리더십' 신학철 LG화학 부회장, 신성장 동력 투자 이어간다 [CEO 오늘]",http://www.sisaon.co.kr/news/articleView.html?idxno=155710,시사오늘,1시간 전,양극재
40,"리튬에 발목잡힌 K-양극재 …""내년 상반기 고비""",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202311200099&t=NNv,한국경제TV언론사 선정,23시간 전,양극재
41,"SK온, BASF와 '맞손'…배터리 핵심 양극재 생산협력 모색한다",https://www.yna.co.kr/view/AKR20231115131600003?input=1195m,연합뉴스,5일 전,양극재
42,바스프와 양극재 동맹 맺은 SK온,http://www.fnnews.com/news/202311151628375858,파이낸셜뉴스언론사 선정,4일 전,양극재
43,"韓 배터리, 양극재 공급망 지도 더 넓힌다",http://www.g-enews.com/ko-kr/news/article/news_all/202311201340145937bdb7041ec_1/article.html,글로벌이코노믹,23시간 전,양극재
44,"한양대 연구팀, 하이니켈 양극재 탄소 캡슐화 기술 개발",http://www.m-i.kr/news/articleView.html?idxno=1067718,매일일보,1일 전,양극재
45,"SK온, BASF와 '맞손'…양극재 생산부터 공급망 강화 '박차'",http://news.tf.co.kr/read/economy/2055712.htm,더팩트,5일 전,양극재
46,"SK온, BASF와 양극재 생산 '맞손'",https://dealsite.co.kr/articles/113187,딜사이트,5일 전,양극재
47,"[더벨]포스코퓨처엠, 포항 '양극재 밸류체인' 구축 속도전",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202311171040091440104481,더벨,1일 전,양극재
48,"SK온, 獨바스프와 '양극재 생산' 맞손…""배터리 밸류체인 확대""",https://www.hankyung.com/article/202311158830i,한국경제,5일 전,양극재
49,"'혁신 리더십' 신학철 LG화학 부회장, 신성장 동력 투자 이어간다 [CEO 오늘]",http://www.sisaon.co.kr/news/articleView.html?idxno=155710,시사오늘,1시간 전,양극재
